term,edf,ref.df,statistic,p.value
s(Total_Rainfall_Plantation),1.00001545552283,1.00003035178614,5.61741979626342,0.0251847389294245
s(Avg_Temperature_Plantation),1.00007549602003,1.0001469925395,0.199160500020715,0.659033410568961
s(Total_Rainfall_Growth),1.61263588475507,1.9988626818861,1.17485099782246,0.317748190854626
s(Avg_Temperature_Growth),1.25503229800065,1.45491556705678,8.5365826070612,0.0148149728048609
s(Total_Rainfall_Maturation),1.00095698713067,1.00187244402979,0.759147258159039,0.391374176643478
s(Avg_Temperature_Maturation),1.00001547058726,1.00003008206715,1.37249055696869,0.251622471813113
s(Total_Rainfall_Plantation_lag1),1.0000258605454,1.00005085840042,0.0477182503792025,0.828773541347816
s(Avg_Temperature_Plantation_lag1),1.00001397534028,1.00002577924839,0.906228645892547,0.349559560996167
s(Total_Rainfall_Growth_lag1),1.00001546069531,1.00003012298912,0.0801281141626717,0.77929720794575
s(Avg_Temperature_Growth_lag1),1.00008351948217,1.00016315625059,2.411097484263,0.132117582338153
s(Total_Rainfall_Maturation_lag1),1.0000138946523,1.00002730292141,1.75979403653263,0.195760501751875
s(Avg_Temperature_Maturation_lag1),2.42894205460012,3.05441117423899,0.159594526398665,0.940632040157293
