Harvest_Year,Climate_Year,Avg_Temperature_Plantation_lag1,Avg_Temperature_Growth_lag1,Avg_Temperature_Maturation_lag1,Avg_Humidity_Plantation_lag1,Avg_Humidity_Growth_lag1,Avg_Humidity_Maturation_lag1,Solar_Radiation_Plantation_lag1,Solar_Radiation_Growth_lag1,Solar_Radiation_Maturation_lag1,Total_Rainfall_Plantation_lag1,Total_Rainfall_Growth_lag1,Total_Rainfall_Maturation_lag1,Area_harvested,Production,Yield,Agri_GDP_Share,Avg_Temperature_Plantation,Avg_Temperature_Growth,Avg_Temperature_Maturation,Avg_Humidity_Plantation,Avg_Humidity_Growth,Avg_Humidity_Maturation,Solar_Radiation_Plantation,Solar_Radiation_Maturation,Solar_Radiation_Growth,Total_Rainfall_Plantation,Total_Rainfall_Maturation,Total_Rainfall_Growth
1982,1981,21.36587,25.49033,24.076484,73.603587,75.648462,77.977473,19.62,19.62,19.62,93.88,444.05,328.23,79879,6581862,82397.9,12.8757,21.627283,25.162637,23.746264,78.947826,78.51522,77.957912,19.62,19.62,19.62,346.25,237.51,740.08
1983,1982,21.627283,25.162637,23.746264,78.947826,78.51522,77.957912,19.62,19.62,19.62,346.25,740.08,237.51,78442,5254665,66987.9,11.326,21.575,25.205659,24.438791,70.853913,75.748846,74.456703,19.62,19.62,19.62,72.33,112.53,445.37
1984,1983,21.575,25.205659,24.438791,70.853913,75.748846,74.456703,19.62,19.62,19.62,72.33,445.37,112.53,77977,5008774,64234,11.9285,20.857935,25.424973,23.547143,73.462826,75.503388,73.069121,15.569674,14.627912,22.485355,116.78,106.98,343.51
1985,1984,20.857935,25.424973,23.547143,73.462826,75.503388,73.069121,15.569674,22.485355,14.627912,116.78,343.51,106.98,78003,5583367,71578.9,12.6056,21.568478,24.747253,23.743407,73.211196,78.621813,76.044066,15.946848,14.092308,21.768352,111.66,138.23,973.74
1986,1985,21.568478,24.747253,23.743407,73.211196,78.621813,76.044066,15.946848,21.768352,14.092308,111.66,973.74,138.23,77707,6024962,77534.4,12.5718,21.414891,25.311154,23.787033,72.681087,77.15456,74.669121,16.983478,14.44956,22.593956,91.16,111.02,467.9
1987,1986,21.414891,25.311154,23.787033,72.681087,77.15456,74.669121,16.983478,22.593956,14.44956,91.16,467.9,111.02,77552,6230700,80342.2,11.9805,22.410761,25.595769,24.486923,72.662826,76.093846,77.95989,16.867826,13.422418,22.844176,61.6,368.53,725.09
1988,1987,22.410761,25.595769,24.486923,72.662826,76.093846,77.95989,16.867826,22.844176,13.422418,61.6,725.09,368.53,76919,5516869,71723.1,10.8018,21.908043,25.881967,24.50022,70.384891,74.93388,72.572308,16.942609,15.146703,23.161913,120.94,186.38,398.19
1989,1988,21.908043,25.881967,24.50022,70.384891,74.93388,72.572308,16.942609,23.161913,15.146703,120.94,398.19,186.38,76785,5436122,70796.7,10.2633,21.510435,25.21467,23.978571,73.028043,77.248681,74.796484,15.603152,14.663077,21.948022,210.3,104.04,520.84
1990,1989,21.510435,25.21467,23.978571,73.028043,77.248681,74.796484,15.603152,21.948022,14.663077,210.3,520.84,104.04,76303,5548291,72713.9,10.7428,21.861196,25.297363,24.067912,70.791196,75.933132,74.606154,16.085652,14.803187,23.337418,60.3,124.23,387.72
1991,1990,21.861196,25.297363,24.067912,70.791196,75.933132,74.606154,16.085652,23.337418,14.803187,60.3,387.72,124.23,75966,5621110,73995.1,9.8365,21.929891,25.731209,24.047692,68.811087,74.342363,75.793846,15.344022,13.406593,22.701813,65.61,243.36,374.8
