Climate_Year,Harvest_Year,Yield_Value,Total_Rainfall_Plantation,Avg_Temperature_Plantation,Total_Rainfall_Growth,Avg_Temperature_Growth,Total_Rainfall_Maturation,Avg_Temperature_Maturation,Total_Rainfall_Plantation_lag1,Avg_Temperature_Growth_lag1,Total_Rainfall_Maturation_lag1,Avg_Temperature_Maturation_lag1,Total_Rainfall_Growth_lag1,Avg_Temperature_Plantation_lag1,Agri_GDP_Share
1981,1982,82397.9,346.25,21.627283,740.08,25.162637,237.51,23.746264,93.88,25.49033,328.23,24.076484,444.05,21.36587,12.8757
1982,1983,66987.9,72.33,21.575,445.37,25.205659,112.53,24.438791,346.25,25.162637,237.51,23.746264,740.08,21.627283,11.326
1983,1984,64234,116.78,20.857935,343.51,25.424973,106.98,23.547143,72.33,25.205659,112.53,24.438791,445.37,21.575,11.9285
1984,1985,71578.9,111.66,21.568478,973.74,24.747253,138.23,23.743407,116.78,25.424973,106.98,23.547143,343.51,20.857935,12.6056
1985,1986,77534.4,91.16,21.414891,467.9,25.311154,111.02,23.787033,111.66,24.747253,138.23,23.743407,973.74,21.568478,12.5718
1986,1987,80342.2,61.6,22.410761,725.09,25.595769,368.53,24.486923,91.16,25.311154,111.02,23.787033,467.9,21.414891,11.9805
1987,1988,71723.1,120.94,21.908043,398.19,25.881967,186.38,24.50022,61.6,25.595769,368.53,24.486923,725.09,22.410761,10.8018
1988,1989,70796.7,210.3,21.510435,520.84,25.21467,104.04,23.978571,120.94,25.881967,186.38,24.50022,398.19,21.908043,10.2633
1989,1990,72713.9,60.3,21.861196,387.72,25.297363,124.23,24.067912,210.3,25.21467,104.04,23.978571,520.84,21.510435,10.7428
1990,1991,73995.1,65.61,21.929891,374.8,25.731209,243.36,24.047692,60.3,25.297363,124.23,24.067912,387.72,21.861196,9.8365
1991,1992,76997.2,129.27,20.945109,423.21,25.428197,158.36,23.456593,65.61,25.731209,243.36,24.047692,374.8,21.929891,9.8796
1992,1993,72974.8,92.77,21.31163,680.97,24.928187,199.06,24.045275,129.27,25.428197,158.36,23.456593,423.21,20.945109,9.0294
1993,1994,65922.4,145.12,21.988913,459.67,25.140385,159.61,24.601868,92.77,24.928187,199.06,24.045275,680.97,21.31163,8.551
1994,1995,71656.2,128.77,21.714348,765.51,25.151758,234.85,23.858681,145.12,25.140385,159.61,24.601868,459.67,21.988913,9.0759
1995,1996,73261,108.08,21.07837,589.62,25.114426,202.1,23.778791,128.77,25.151758,234.85,23.858681,765.51,21.714348,8.9427
1996,1997,79538.6,116.9,21.585435,530.86,25.148132,228.52,24.151648,108.08,25.114426,202.1,23.778791,589.62,21.07837,8.1987
1997,1998,78109.2,136.23,21.697826,598.56,25.622418,145.04,24.283516,116.9,25.148132,228.52,24.151648,530.86,21.585435,8.0197
1998,1999,53519.1,137.49,21.572826,304.34,24.870989,79.67,24.363297,136.23,25.622418,145.04,24.283516,598.56,21.697826,4.93
1999,2000,69939.5,134.92,21.376957,398.68,25.04,133.79,24.163956,137.49,24.870989,79.67,24.363297,304.34,21.572826,5.6292
2000,2001,79133,105.71,21.968696,341.92,25.705934,133.96,24.431099,134.92,25.04,133.79,24.163956,398.68,21.376957,6.0663
2001,2002,67443,111.29,22.018152,523.04,25.542033,174.92,24.335275,105.71,25.705934,133.96,24.431099,341.92,21.968696,5.1224
2002,2003,73232.8,143.18,21.91413,415.86,25.915604,335.36,24.811099,111.29,25.542033,174.92,24.335275,523.04,22.018152,5.1087
2003,2004,75760.7,100.79,22.268478000000002,534.56,25.801967,242.99,23.974725,143.18,25.915604,335.36,24.811099,415.86,21.91413,5.2061
2004,2005,72918.6,167.18,22.19663,737.44,25.740549,127.13,24.583516,100.79,25.801967,242.99,23.974725,534.56,22.268478000000002,4.9118
2005,2006,71164.9,118.36,21.985109,572.44,25.531978,155.33,24.655824,167.18,25.740549,127.13,24.583516,737.44,22.19663,4.9064
2006,2007,64908.3,44.57,22.39413,395.96,25.676868,101.96,24.716923,118.36,25.531978,155.33,24.655824,572.44,21.985109,4.376
2007,2008,73099.9,76.89,22.225543,426.89,25.953989,113.81,24.288132,44.57,25.676868,101.96,24.716923,395.96,22.39413,4.0749
2008,2009,77297.7,44.42,22.456522,428.33,26.411703,199.84,25.075055,76.89,25.953989,113.81,24.288132,426.89,22.225543,3.8806
2009,2010,74363.9,40.16,22.737935,485.55,26.018571,43.62,25.311209,44.42,26.411703,199.84,25.075055,428.33,22.456522,3.6417
2010,2011,74648.4,46.84,22.748587,404.08,25.888736,107.71,25.183187,40.16,26.018571,43.62,25.311209,485.55,22.737935,3.7036
2011,2012,72908.8,52.86,22.399891,318.85,25.911913,82.74,24.685385,46.84,25.888736,107.71,25.183187,404.08,22.748587,3.6573
2012,2013,71371.1,37.88,22.192935,524.34,26.14967,78.96,24.149451,52.86,25.911913,82.74,24.685385,318.85,22.399891,3.3306
