Area,Item,Element,Year,Value,Unit
Mauritius,Asses,Stocks,2000,60,An
Mauritius,Asses,Stocks,2001,60,An
Mauritius,Asses,Stocks,2002,60,An
Mauritius,Asses,Stocks,2003,60,An
Mauritius,Asses,Stocks,2004,60,An
Mauritius,Asses,Stocks,2005,60,An
Mauritius,Asses,Stocks,2006,60,An
Mauritius,Asses,Stocks,2007,60,An
Mauritius,Asses,Stocks,2008,60,An
Mauritius,Asses,Stocks,2009,60,An
Mauritius,Asses,Stocks,2010,60,An
Mauritius,Asses,Stocks,2011,60,An
Mauritius,Asses,Stocks,2012,60,An
Mauritius,Asses,Stocks,2013,60,An
Mauritius,Asses,Stocks,2014,60,An
Mauritius,Asses,Stocks,2015,60,An
Mauritius,Asses,Stocks,2016,60,An
Mauritius,Asses,Stocks,2017,60,An
Mauritius,Asses,Stocks,2018,60,An
Mauritius,Asses,Stocks,2019,60,An
Mauritius,Asses,Stocks,2020,60,An
Mauritius,Asses,Stocks,2021,60,An
Mauritius,Asses,Stocks,2022,60,An
Mauritius,Asses,Stocks,2023,60,An
Mauritius,Bananas,Area harvested,2000,489,ha
Mauritius,Bananas,Area harvested,2001,540,ha
Mauritius,Bananas,Area harvested,2002,600,ha
Mauritius,Bananas,Area harvested,2003,544,ha
Mauritius,Bananas,Area harvested,2004,528,ha
Mauritius,Bananas,Area harvested,2005,521,ha
Mauritius,Bananas,Area harvested,2006,481,ha
Mauritius,Bananas,Area harvested,2007,464,ha
Mauritius,Bananas,Area harvested,2008,502,ha
Mauritius,Bananas,Area harvested,2009,494,ha
Mauritius,Bananas,Area harvested,2010,542,ha
Mauritius,Bananas,Area harvested,2011,497,ha
Mauritius,Bananas,Area harvested,2012,510,ha
Mauritius,Bananas,Area harvested,2013,501,ha
Mauritius,Bananas,Area harvested,2014,464,ha
Mauritius,Bananas,Area harvested,2015,470,ha
Mauritius,Bananas,Area harvested,2016,459,ha
Mauritius,Bananas,Area harvested,2017,507,ha
Mauritius,Bananas,Area harvested,2018,492,ha
Mauritius,Bananas,Area harvested,2019,508,ha
Mauritius,Bananas,Area harvested,2020,486,ha
Mauritius,Bananas,Area harvested,2021,599,ha
Mauritius,Bananas,Area harvested,2022,633,ha
Mauritius,Bananas,Area harvested,2023,715,ha
Mauritius,Bananas,Yield,2000,17382.4,kg/ha
Mauritius,Bananas,Yield,2001,20370.4,kg/ha
Mauritius,Bananas,Yield,2002,12000,kg/ha
Mauritius,Bananas,Yield,2003,22224.3,kg/ha
Mauritius,Bananas,Yield,2004,22727.3,kg/ha
Mauritius,Bananas,Yield,2005,22226.5,kg/ha
Mauritius,Bananas,Yield,2006,22392.9,kg/ha
Mauritius,Bananas,Yield,2007,19452.6,kg/ha
Mauritius,Bananas,Yield,2008,20842.6,kg/ha
Mauritius,Bananas,Yield,2009,22105.3,kg/ha
Mauritius,Bananas,Yield,2010,22022.1,kg/ha
