Item,Year,Area_harvested,Production,Yield
Sugar cane,1981,78276,5302564,67741.9
Sugar cane,1982,79879,6581862,82397.9
Sugar cane,1983,78442,5254665,66987.9
Sugar cane,1984,77977,5008774,64234
Sugar cane,1985,78003,5583367,71578.9
Sugar cane,1986,77707,6024962,77534.4
Sugar cane,1987,77552,6230700,80342.2
Sugar cane,1988,76919,5516869,71723.1
Sugar cane,1989,76785,5436122,70796.7
Sugar cane,1990,76303,5548291,72713.9
Sugar cane,1991,75966,5621110,73995.1
Sugar cane,1992,75077,5780722,76997.2
Sugar cane,1993,74031,5402401,72974.8
Sugar cane,1994,73017,4813454,65922.4
Sugar cane,1995,72000,5159244,71656.2
Sugar cane,1996,71800,5260138,73261
Sugar cane,1997,72758,5787070,79538.6
Sugar cane,1998,74013,5781095,78109.2
Sugar cane,1999,72546,3882597,53519.1
Sugar cane,2000,73056,5109500,69939.5
Sugar cane,2001,73197,5792300,79133
Sugar cane,2002,72267,4873900,67443
Sugar cane,2003,70998,5199384,73232.8
Sugar cane,2004,69698,5280370,75760.7
Sugar cane,2005,68351,4984058,72918.6
Sugar cane,2006,66732,4748973,71164.9
Sugar cane,2007,65259,4235849,64908.3
Sugar cane,2008,62011,4533000,73099.9
Sugar cane,2009,60380,4667235,77297.7
Sugar cane,2010,58709,4365833,74363.9
Sugar cane,2011,56668,4230173,74648.4
Sugar cane,2012,54140,3947285,72908.8
Sugar cane,2013,53464,3815782,71371.1
Sugar cane,2014,50694,4044422,79781.1
Sugar cane,2015,52387,4009232,76531
Sugar cane,2016,51476,3798448,73790.7
Sugar cane,2017,49974,3713331,74305.3
Sugar cane,2018,47678,3154515,66162.9
Sugar cane,2019,45054,3405250,75581.5
Sugar cane,2020,43711,2620874,59959.1
Sugar cane,2021,41897,2669667,63719.8
Sugar cane,2022,39199,2256806,57573.1
Sugar cane,2023,35863,2452653,68389.5
