"date","Temperature_in_degree_celsius","Precipitation_in_mm","Humidity_percent","Solar_radiation_kWh_m2"
2000-01-01,24.85,0.89,76.29,26.5
2000-01-02,25.2,0.99,75.12,26.04
2000-01-03,25.31,0.22,73.12,27.57
2000-01-04,25.59,0.19,71.09,28.51
2000-01-05,25.1,0.1,72.46,26.89
2000-01-06,24.91,8.98,75.97,22.29
2000-01-07,24.96,2.89,75.72,25.92
2000-01-08,25.33,1.03,77.58,21.32
2000-01-09,25.81,4.02,78.65,24.72
2000-01-10,26.15,1.85,78.5,26.29
2000-01-11,25.88,0.83,77,24.29
2000-01-12,26.14,1.68,76.07,18.39
2000-01-13,25.46,26.11,80.82,5.5
2000-01-14,26.13,10.41,84.63,17.83
2000-01-15,26.99,2.45,80.62,27.19
2000-01-16,26.68,2.45,83.98,26.38
2000-01-17,26.59,0.98,79.52,26.93
2000-01-18,27.36,0.08,77.55,27.44
2000-01-19,28,0.46,76.38,27.13
2000-01-20,28.09,1.07,76.28,27.7
2000-01-21,28.05,0.48,72.57,28.81
2000-01-22,28.14,0.9,73.43,27.95
2000-01-23,27.67,0.49,74.01,28.48
2000-01-24,27.17,2.24,76.46,21.3
2000-01-25,27.09,0.79,74.67,23.16
2000-01-26,27.15,1.72,74.88,19.11
2000-01-27,27.33,9.66,77.51,16.69
2000-01-28,26.3,45.33,81.98,4.03
2000-01-29,26.35,21.93,85.04,8.98
2000-01-30,26.67,9.15,86.77,21.63
2000-01-31,26.33,6.69,85.9,17.56
2000-02-01,26.27,2.29,79.73,25.01
2000-02-02,26.08,0.48,72.49,27.09
2000-02-03,26.04,0.36,74.75,25.42
2000-02-04,26.1,0.11,77.63,22.54
2000-02-05,26.82,0.24,78.4,27.21
2000-02-06,27.06,0.52,80.51,26.22
2000-02-07,26.71,0.86,79.45,24.22
2000-02-08,26.72,2.5,79.32,24.2
2000-02-09,26.53,3.5,80.98,22.11
2000-02-10,26.44,0.81,80.06,22.47
2000-02-11,26.43,0.27,77.64,25.96
2000-02-12,26.31,1.45,76.76,23.82
2000-02-13,26.63,6.33,82.66,22.74
2000-02-14,26.02,4.98,82.76,19.94
2000-02-15,25.61,15.93,87.39,13.38
2000-02-16,26.19,4.91,86.56,16.69
2000-02-17,25.7,4.63,85.06,20.9
2000-02-18,25.58,2.61,82.41,23.47
2000-02-19,25.7,1.06,76.6,22.51
2000-02-20,25.49,0.86,73.5,24.96
2000-02-21,25.73,0.79,75.94,25.56
2000-02-22,25.7,1.71,77.62,23.58
2000-02-23,25.39,0.57,75.04,25.8
2000-02-24,25.68,0.47,70.21,26.75
2000-02-25,25.74,0.71,68.14,26.61
2000-02-26,25.76,0.59,76.5,23.98
2000-02-27,25.95,1.08,78.33,23.02
2000-02-28,26,1.39,77.65,21.15
2000-02-29,26.3,3,80.82,23.31
2000-03-01,26.03,2.47,79.26,20.96
2000-03-02,26.16,1.04,76.29,22.45
2000-03-03,25.92,1.71,77,24.04
2000-03-04,25.71,1.18,76.57,25
2000-03-05,25.82,0.75,74.6,24.31
2000-03-06,25.7,1.31,71.93,25.38
2000-03-07,25.57,2.29,75.67,21.06
2000-03-08,25.64,0.78,73.14,19.7
2000-03-09,25.67,1.76,75.62,22.91
2000-03-10,25.74,0.91,74.37,21.3
2000-03-11,25.48,0.86,73.63,21.48
2000-03-12,25.76,1.14,74.65,21.2
2000-03-13,25.74,0.31,72.19,23.47
2000-03-14,25.46,0.74,73.85,20.04
2000-03-15,25.74,0.22,72.9,20.13
2000-03-16,25.94,5.99,83.26,20.92
2000-03-17,25.83,11.5,83.58,16.87
2000-03-18,25.62,0.72,77.3,20.36
2000-03-19,25.63,1.63,76.09,19.43
2000-03-20,25.71,1.41,78.08,20.47
2000-03-21,25.98,0.32,77.11,23.55
2000-03-22,25.87,0.5,75.57,19.83
2000-03-23,25.86,0.62,72.71,21.19
2000-03-24,25.92,1.15,76.87,22.7
2000-03-25,25.83,0.23,73.32,22.77
2000-03-26,25.87,0.25,75.66,22.71
2000-03-27,26.27,0.59,79.44,22.6
2000-03-28,25.98,0.59,77.12,21.37
2000-03-29,25.64,0.4,74.78,22.57
2000-03-30,25.75,0.67,77.54,20.99
2000-03-31,26.03,0.32,78.59,19.06
2000-04-01,26.29,5.16,82.25,16.44
2000-04-02,26.08,0.94,71.65,20.34
2000-04-03,25.8,0.6,69.61,20.6
2000-04-04,25.79,0.83,70.48,18.88
2000-04-05,25.72,0.82,68.69,20.59
2000-04-06,25.48,1.1,70.95,21.79
2000-04-07,25.5,0.84,73.89,20.57
2000-04-08,25.34,0.69,66.53,22.05
2000-04-09,25.42,0.48,63.54,21.21
2000-04-10,24.85,0.54,72.25,17.86
2000-04-11,24.92,0.96,72.02,21.37
2000-04-12,25.18,2.79,76.02,16.92
2000-04-13,25.19,2.81,77.62,20.69
2000-04-14,25.8,12.14,82.78,13.2
2000-04-15,25.96,1.53,76.06,20.02
2000-04-16,25.94,0.87,73.22,19.38
2000-04-17,25.51,0.33,71.29,20.53
2000-04-18,25.67,0.84,76.39,19.46
2000-04-19,25.51,1.08,71.24,20.2
2000-04-20,25.13,0.29,71.56,20.08
2000-04-21,25.27,0.54,74.43,19.4
2000-04-22,25.29,0.54,75.83,18.97
2000-04-23,25.91,6.15,80.62,12.03
2000-04-24,25.92,18.47,84.12,5.85
2000-04-25,25.81,7.88,82.28,13.27
2000-04-26,25.5,0.58,77.11,19.06
2000-04-27,25.45,0.34,75.13,18
2000-04-28,25.61,0.21,72.98,17.69
2000-04-29,25.05,0.37,75.73,18.18
2000-04-30,24.88,0.4,74.37,18.47
2000-05-01,24.57,5.14,79.82,15.82
2000-05-02,24.38,3.26,76.73,10.8
2000-05-03,24.39,0.03,64.6,17.81
2000-05-04,24.52,0.39,62.09,17.14
2000-05-05,24.65,1,67.52,15.03
2000-05-06,24.58,1.1,68.88,17.07
2000-05-07,24.82,0.61,69.6,16.18
2000-05-08,24.66,0.44,71.9,17.01
2000-05-09,24.59,1.3,77.15,14.83
2000-05-10,24.9,1.85,78.57,16.82
2000-05-11,24.89,2.34,82.08,14.22
2000-05-12,24.86,1.05,82.84,17.03
2000-05-13,24.93,0.14,77.39,17.39
2000-05-14,24.77,0.24,77.19,17.07
2000-05-15,25.26,0.29,76.4,17.22
2000-05-16,25.35,0.7,76.77,16.31
2000-05-17,24.69,0.72,76.4,16.31
2000-05-18,23.85,0.2,74.95,16.57
2000-05-19,23.56,0.49,75.88,13.64
2000-05-20,23.72,0.26,74.72,16.75
2000-05-21,23.83,0.55,74.13,12.55
2000-05-22,23.88,0.07,70.5,16.8
2000-05-23,24.42,0.62,70.38,16.12
2000-05-24,23.72,2.37,78.05,15.93
2000-05-25,23.86,0.31,72.14,16.67
2000-05-26,23.57,1.37,75.44,14.68
2000-05-27,23.68,0.23,69.14,16
2000-05-28,23.89,0.67,69.28,13.99
2000-05-29,23.84,2.57,75.62,9.71
2000-05-30,24.11,0.33,76.27,11.93
2000-05-31,24.04,0.34,75.34,15.22
2000-06-01,23.9,1.29,76.82,14.69
2000-06-02,23.63,0.65,76.74,14.58
2000-06-03,23.38,1.34,75.73,15.72
2000-06-04,22.96,1.12,70.56,10.85
2000-06-05,22.85,0.66,64.59,11.44
2000-06-06,22.65,1.08,65.56,14.12
2000-06-07,22.53,0.65,66.04,14.09
2000-06-08,22.41,1.36,66.98,11.26
2000-06-09,22.85,0.85,65.49,14.17
2000-06-10,22.26,0.43,69.22,13.32
2000-06-11,22.06,0.76,71.75,13.45
2000-06-12,22.62,0.82,69.1,15.62
2000-06-13,22.77,0.82,69.32,13.93
2000-06-14,22.81,0.54,66.61,15.49
2000-06-15,22.79,1.58,74.14,12.81
2000-06-16,23.24,0.15,65.43,15.95
2000-06-17,22.66,0.37,69.45,16.07
2000-06-18,22.37,0.62,67.95,14.91
2000-06-19,22.86,0.44,71.21,15.31
2000-06-20,22.73,0.98,73.04,15.42
2000-06-21,22.94,1.5,74.68,15.03
2000-06-22,22.9,0.41,64.72,15.3
2000-06-23,22.88,0.83,68.64,12.67
2000-06-24,22.89,0.21,64.16,15.57
2000-06-25,22.56,1.74,76.6,14.51
2000-06-26,22.54,2.48,78,10.18
2000-06-27,22.43,3.41,79.5,15.33
2000-06-28,21.78,3.82,77.88,14.73
2000-06-29,20.69,0.59,68.59,13.15
2000-06-30,20.43,0.19,63.6,13.96
2000-07-01,20.54,3.43,69.46,13.53
2000-07-02,20.93,1.72,66.45,12.35
2000-07-03,21.57,2.6,71.77,15.33
2000-07-04,21.86,1.89,75.56,14.73
2000-07-05,22.22,0.84,76.27,12
2000-07-06,22.39,0.69,75.46,15.29
2000-07-07,22.17,0.64,74.31,11.88
2000-07-08,22.39,1.93,75.55,13.39
2000-07-09,21.62,1.14,71.19,13.91
2000-07-10,21.14,1.33,68.58,12.69
2000-07-11,21.13,1.74,69.11,11.76
2000-07-12,21.07,2.08,69.23,11.24
2000-07-13,21.5,1.49,70.03,12.73
2000-07-14,21.82,1.05,68.98,16.1
2000-07-15,22.02,0.74,71.95,13.62
2000-07-16,21.96,1,71.74,16.14
2000-07-17,22.08,1.99,78.14,14.57
2000-07-18,21.76,1.19,75.5,11.41
2000-07-19,21.23,0.14,76.99,14.94
2000-07-20,21.84,0.53,76.09,16.03
2000-07-21,21.94,0.5,73.56,16.71
2000-07-22,21.1,0.19,71.94,16.61
2000-07-23,20.89,0.19,68.55,17.39
2000-07-24,20.71,0.83,73.41,12.77
2000-07-25,20.77,1.32,72.29,11.95
2000-07-26,21.18,1.69,73.21,15.08
2000-07-27,21.64,0.5,72.87,14.46
2000-07-28,21.66,0.66,66.6,16.81
2000-07-29,21.57,0.73,69.69,15.47
2000-07-30,21.51,0.94,69.33,17.26
2000-07-31,21.57,1.08,79.21,15.61
2000-08-01,21.59,6.01,82.75,12.07
2000-08-02,21.12,7.32,88.16,8.24
2000-08-03,21.64,5.6,81.62,14.47
2000-08-04,21.27,0.84,72.91,16.53
2000-08-05,21.36,0.33,68.38,17.72
2000-08-06,21.69,1.34,73.61,15.86
2000-08-07,21.76,0.78,78.54,15.56
2000-08-08,21.85,2.93,85.84,11.68
2000-08-09,21.47,4.19,82.66,10.37
2000-08-10,21.17,0.76,77.22,17.6
2000-08-11,20.7,1.86,74.02,15.54
2000-08-12,20.62,0.47,67.83,16.27
2000-08-13,21.03,6.64,79.89,10.65
2000-08-14,21.5,0.73,76.9,17.4
2000-08-15,21.35,0.17,74.44,19.93
2000-08-16,20.96,1.8,77.15,16.62
2000-08-17,21.17,0.58,70.3,17.07
2000-08-18,21.39,0.35,64.35,18.19
2000-08-19,21.07,0.8,68.76,17
2000-08-20,21.04,0.84,70.56,20.44
2000-08-21,20.96,0.42,74.74,20.22
2000-08-22,20.85,1.48,68.82,18.73
2000-08-23,20.75,1.23,65.1,17.3
2000-08-24,20.58,2.31,66.12,18.06
2000-08-25,20.5,0.97,64.97,20.18
