"date","Temperature_in_degree_celsius","Precipitation_in_mm","Humidity_percent","Solar_radiation_kWh_m2"
1981-01-01,26.82,0.13,75.64,19.62
1981-01-02,26.83,0.04,72.19,19.62
1981-01-03,26.27,0.18,74.15,19.62
1981-01-04,25.94,0.13,74.89,19.62
1981-01-05,26.17,0.19,73.34,19.62
1981-01-06,26.31,23.41,81.78,19.62
1981-01-07,26.56,9.99,82.07,19.62
1981-01-08,26.59,22.22,82.92,19.62
1981-01-09,26.66,7.52,80.99,19.62
1981-01-10,26.56,4,78.06,19.62
1981-01-11,26.58,0.36,73.74,19.62
1981-01-12,26.43,0.14,75.85,19.62
1981-01-13,26.7,0.65,75.08,19.62
1981-01-14,26.48,0.15,76.21,19.62
1981-01-15,26.26,0.1,71.35,19.62
1981-01-16,26.36,0.07,75.06,19.62
1981-01-17,26.25,0.24,75.51,19.62
1981-01-18,26.1,0.29,75.79,19.62
1981-01-19,26.31,0.1,73.52,19.62
1981-01-20,26.61,0.11,74.52,19.62
1981-01-21,26.72,0.5,74.63,19.62
1981-01-22,26.57,1.37,78.08,19.62
1981-01-23,26.62,0.18,78.82,19.62
1981-01-24,26.84,0.11,74.86,19.62
1981-01-25,26.85,0.12,71.11,19.62
1981-01-26,26.44,0.15,73.03,19.62
1981-01-27,26.24,0.13,75.69,19.62
1981-01-28,26.48,0.2,74.21,19.62
1981-01-29,26.69,0.16,76.39,19.62
1981-01-30,27.48,1.38,77.73,19.62
1981-01-31,26.68,15.87,78.17,19.62
1981-02-01,26.81,13.68,78.52,19.62
1981-02-02,27.13,4.94,77.72,19.62
1981-02-03,26.57,0.72,74.55,19.62
1981-02-04,26.57,0.39,71.88,19.62
1981-02-05,26.36,0.06,71.99,19.62
1981-02-06,26.6,0.01,71.44,19.62
1981-02-07,26.87,0,72.58,19.62
1981-02-08,26.69,0.01,75.25,19.62
1981-02-09,26.63,0,74.77,19.62
1981-02-10,26.85,0.11,73.69,19.62
1981-02-11,26.7,0.09,74.13,19.62
1981-02-12,26.5,0.2,74.13,19.62
1981-02-13,27.06,0.46,72.83,19.62
1981-02-14,27.33,0.64,76.07,19.62
1981-02-15,27.51,0.42,78.95,19.62
1981-02-16,27.01,0.98,74.4,19.62
1981-02-17,27.05,0.65,73,19.62
1981-02-18,26.91,1.26,71.47,19.62
1981-02-19,26.41,2.03,74.79,19.62
1981-02-20,26.42,0.08,74.76,19.62
1981-02-21,26.44,0.05,75.54,19.62
1981-02-22,26.78,0.89,78.2,19.62
1981-02-23,27.45,2.13,77.7,19.62
1981-02-24,27.62,0.64,77.71,19.62
1981-02-25,27.45,2.87,76.71,19.62
1981-02-26,27.24,2.35,74.99,19.62
1981-02-27,27.09,3.34,73.31,19.62
1981-02-28,27.07,5.74,74.37,19.62
1981-03-01,27.17,0.94,76.5,19.62
1981-03-02,26.8,2.74,78.69,19.62
1981-03-03,26.1,15.6,79.25,19.62
1981-03-04,24.66,22.06,82.57,19.62
1981-03-05,25.02,24.94,85.36,19.62
1981-03-06,27.03,17.33,84.91,19.62
1981-03-07,27.42,0.57,78.6,19.62
1981-03-08,27.29,0.3,74.43,19.62
1981-03-09,27.69,0.43,76,19.62
1981-03-10,27.16,7.41,83.3,19.62
1981-03-11,27.1,0.2,75.68,19.62
1981-03-12,26.5,0.28,68.43,19.62
1981-03-13,26.4,0.24,74,19.62
1981-03-14,27.17,0.45,75.22,19.62
1981-03-15,27.32,1.65,79.46,19.62
1981-03-16,27.38,2.52,76.68,19.62
1981-03-17,26.77,3.05,79.06,19.62
1981-03-18,26.52,2.14,79.47,19.62
1981-03-19,26.52,1.87,77.52,19.62
1981-03-20,26.22,0.85,79.43,19.62
1981-03-21,26.55,1.34,80.75,19.62
1981-03-22,26.4,0.75,79.75,19.62
1981-03-23,26.77,2.47,80.79,19.62
1981-03-24,26.25,6.07,84.93,19.62
1981-03-25,26.6,4.38,79.29,19.62
1981-03-26,26.76,2.25,79.72,19.62
1981-03-27,26.52,7.67,76.55,19.62
1981-03-28,26.5,4.75,79.19,19.62
1981-03-29,26.55,1.32,77.95,19.62
1981-03-30,26.99,0.97,79.93,19.62
1981-03-31,27.09,1.57,81.86,19.62
1981-04-01,27.17,2.55,83.92,19.62
1981-04-02,27.11,0.83,84.68,19.62
1981-04-03,27.3,1.21,86.21,19.62
1981-04-04,27.51,1.05,82.12,19.62
1981-04-05,27.66,0.44,77.49,19.62
1981-04-06,27.51,0.53,73.42,19.62
1981-04-07,27.11,0.11,78.78,19.62
1981-04-08,27.11,0.97,81.7,19.62
1981-04-09,26.98,19.08,84.47,19.62
1981-04-10,27.09,26.38,84.11,19.62
1981-04-11,26.51,16.22,85.98,19.62
1981-04-12,25.73,10.74,83.64,19.62
1981-04-13,25.75,28.46,85.39,19.62
1981-04-14,26.5,32.37,87.16,19.62
1981-04-15,26.59,25.04,86.95,19.62
1981-04-16,26.48,33.27,80.65,19.62
1981-04-17,25.48,7.67,83.09,19.62
1981-04-18,24.45,0.09,79.34,19.62
1981-04-19,24.69,0.24,78.79,19.62
1981-04-20,24.69,1.11,76.59,19.62
1981-04-21,25.1,3.29,80.96,19.62
1981-04-22,24.29,6.47,82.67,19.62
1981-04-23,24.55,5.69,83.8,19.62
1981-04-24,24.92,0.87,83.6,19.62
1981-04-25,25.61,1.26,78.8,19.62
1981-04-26,25.46,4.46,81.25,19.62
1981-04-27,25.54,4.89,85.74,19.62
1981-04-28,25.23,4.37,84.13,19.62
1981-04-29,24.59,4.48,84.46,19.62
1981-04-30,24.35,1.81,84.86,19.62
1981-05-01,24.72,0.66,84.65,19.62
1981-05-02,25,7.42,82.4,19.62
1981-05-03,24.52,3.94,81.53,19.62
1981-05-04,24.33,3.55,82.27,19.62
1981-05-05,24.87,7.61,82.4,19.62
1981-05-06,24.82,1.89,81.25,19.62
1981-05-07,24.17,2.25,86.59,19.62
1981-05-08,24.92,0.19,84.16,19.62
1981-05-09,25.02,0.23,80,19.62
1981-05-10,25.13,1.76,77.95,19.62
1981-05-11,25.25,3.2,79.4,19.62
1981-05-12,25,4.43,80.2,19.62
1981-05-13,24.45,1.41,84.36,19.62
1981-05-14,24.19,0.11,80.59,19.62
1981-05-15,23.12,0.12,78.23,19.62
1981-05-16,22.79,0.02,75.34,19.62
1981-05-17,22.83,0.22,72.11,19.62
1981-05-18,22.39,0.12,68.31,19.62
1981-05-19,22.58,0.23,68.18,19.62
1981-05-20,22.58,0.24,71.39,19.62
1981-05-21,22.99,2.26,72.73,19.62
1981-05-22,23.2,2.15,75.91,19.62
1981-05-23,22.64,0.27,77.46,19.62
