"countryiso3code","country.id","country.value","date","value","unit"
"MUS",MU,Mauritius,2000,5.629218,"%"
"MUS",MU,Mauritius,2001,6.066321,"%"
"MUS",MU,Mauritius,2002,5.122449,"%"
"MUS",MU,Mauritius,2003,5.108663,"%"
"MUS",MU,Mauritius,2004,5.206086,"%"
"MUS",MU,Mauritius,2005,4.911811,"%"
"MUS",MU,Mauritius,2006,4.906448,"%"
"MUS",MU,Mauritius,2007,4.375987,"%"
"MUS",MU,Mauritius,2008,4.074877,"%"
"MUS",MU,Mauritius,2009,3.880640,"%"
"MUS",MU,Mauritius,2010,3.641742,"%"
"MUS",MU,Mauritius,2011,3.703648,"%"
"MUS",MU,Mauritius,2012,3.657271,"%"
"MUS",MU,Mauritius,2013,3.330587,"%"
"MUS",MU,Mauritius,2014,3.191949,"%"
"MUS",MU,Mauritius,2015,3.071963,"%"
"MUS",MU,Mauritius,2016,3.097270,"%"
"MUS",MU,Mauritius,2017,2.994749,"%"
"MUS",MU,Mauritius,2018,2.563857,"%"
"MUS",MU,Mauritius,2019,2.707241,"%"
"MUS",MU,Mauritius,2020,3.141862,"%"
"MUS",MU,Mauritius,2021,3.280236,"%"
"MUS",MU,Mauritius,2022,3.563031,"%"
"MUS",MU,Mauritius,2023,4.005972,"%"
"MUS",MU,Mauritius,2024,4.260985,"%"
